cod_ponto;sist_hidrico;localizacao;data_inicio;data_fim;municipio;id_ponto;n_ugrhi;code_muni;name_muni
GRDE02800;Rio Grande - UGRHI 08, 12 e 15;Na ponte da  SP 463, na divisa de estado SP/MG, a jusante do Res. de Agua Vermelha.;2013-01-01;NA;OUROESTE;2214;15;3534757;Ouroeste
TIPR02700;Reservatório de Promissão;No corpo central, na altura do braço do Rio Dourado;2007-01-01;NA;ADOLFO;1367;16;3500204;Adolfo
DADO02990;Rio Dourado;Na foz do Braço do rio Dourado com o Reservatório de Promissâo;2007-04-01;NA;ADOLFO;1360;16;3500204;Adolfo
BATA02300;Rio Batalha;Ponte na rodovia Marechal Rondon (SP-300), na altura do km 373, a jusante de Avaí.;2015-06-01;NA;AVAI;2540;16;3504305;Avaí
BATA02050;Rio Batalha;Na captação de Bauru.;2001-01-01;NA;BAURU;564;16;3506003;Bauru
DADO02800;Rio Dourado;Ponte na SP 381, entre Lins e Sabino.;2007-04-01;NA;GUAICARA;1357;16;3517208;Guaiçara
DADO02600;Rio Dourado;Ponte na SP-333 entre Guarantã e Pongaí;2007-04-01;NA;GUARANTA;1356;16;3518107;Guarantã
TIET02600;Rio Tietê;Margem direita, jusante do canal de fuga da casa de força da Usina Hidrelétrica de Ibitinga.;1974-10-01;NA;IBITINGA;189;16;3519600;Ibitinga
SLOU03700;Rio São Lourenço;Ponte na estrada de terra paralela a Rod. Dr. Mauricio Antunes Ferraz. A jusante da ETE de Itápolis.;2014-01-01;NA;ITAPOLIS;2303;16;3522703;Itápolis
BMAN02250;Braço do Rio Barra Mansa;Ponte na SP-304, na divisa municipal de Mendonça / Sales.;2020-01-01;NA;MENDONCA;3345;16;3529500;Mendonça
TIPR02400;Reservatório de Promissão;Ponte na rodovia SP-333, no trecho que liga Pongaí a Borborema.;1978-01-01;2000-12-31;PONGAI;188;16;3540101;Pongaí
DADO02900;Rio Dourado;A jusante da entrada do Rib.Campestre;2007-01-01;NA;PROMISSAO;1364;16;3541604;Promissão
CTRE04800;Ribeirão Campestre;A 3 km montante da foz no Rio Dourado.;2007-01-01;NA;PROMISSAO;1365;16;3541604;Promissão
TIPR02990;Reservatório de Promissão;A montante da barragem de Promissão, próximo do vertedouro;2007-01-01;NA;PROMISSAO;1392;16;3541604;Promissão
